日期,注册天数,签到第几天,锁仓绩效积分,可用绩效积分,养老绩效积分,当前累计贡献值,,,,,,,,,,
2020年5月15日,76,7,187.850006,0.52,2.91,437905,,,,,,,,,,
日期,注册天数,登陆第几天,签到贡献值,阅读倍数,阅读贡献值,分享贡献值,广告贡献值,今日获取的总贡献值,转换比,贡献值转换成积分,释放比,释放积分,锁仓绩效积分,可用绩效积分,养老绩效积分,累计贡献值
2020年7月21日,142,3,36,12,780,50,160,1026,5190.180176,0.197681,0.001,0.189878,189.688141,15.121413,6.560355,542175
2020年7月22日,143,4,48,12,780,50,160,1038,5190.180176,0.199993,0.001,0.189888,189.698242,15.273324,6.598332,543213
2020年7月23日,144,5,60,12,780,50,160,1050,5190.180176,0.202305,0.001,0.189901,189.710648,15.425244,6.636312,544263
2020年7月24日,145,6,72,12,780,50,160,1062,5190.180176,0.204617,0.001,0.189915,189.725357,15.577176,6.674295,545325
2020年7月25日,146,7,1376,12,780,50,160,2366,5190.180176,0.455861,0.001,0.190181,189.991028,15.729321,6.712332,547691
2020年7月26日,147,1,12,12,780,50,160,1002,5190.180176,0.193057,0.001,0.190184,189.993896,15.881469,6.750369,548693
2020年7月27日,148,2,24,12,780,50,160,1014,5190.180176,0.195369,0.001,0.190189,189.999084,16.033621,6.788406,549707
2020年7月28日,149,3,36,12,780,50,160,1026,5190.180176,0.197681,0.001,0.190197,190.006561,16.185778,6.826446,550733
2020年7月29日,150,4,48,12,780,50,160,1038,5190.180176,0.199993,0.001,0.190207,190.016357,16.337942,6.864487,551771
2020年7月30日,151,5,60,12,780,50,160,1050,5190.180176,0.202305,0.0008,0.152175,190.066483,16.459682,6.894922,552821
2020年7月31日,152,6,72,12,780,50,160,1062,5190.180176,0.204617,0.0008,0.152217,190.118881,16.581455,6.925365,553883
2020年8月1日,153,7,1376,12,780,50,160,2366,5190.180176,0.455861,0.0008,0.15246,190.422272,16.703423,6.955857,556249
2020年8月2日,154,1,12,12,780,50,160,1002,5190.180176,0.193057,0.0008,0.152492,190.46283,16.825417,6.986355,557251
2020年8月3日,155,2,24,12,780,50,160,1014,5190.180176,0.195369,0.0008,0.152527,190.505676,16.947437,7.01686,558265
2020年8月4日,156,3,36,12,780,50,160,1026,5190.180176,0.197681,0.0008,0.152563,190.550797,17.069487,7.047373,559291
2020年8月5日,157,4,48,12,780,50,160,1038,5190.180176,0.199993,0.0008,0.152601,190.59819,17.191566,7.077893,560329
2020年8月6日,158,5,60,12,780,50,160,1050,5190.180176,0.202305,0.0008,0.15264,190.647858,17.313679,7.108421,561379
2020年8月7日,159,6,72,12,780,50,160,1062,5190.180176,0.204617,0.0008,0.152682,190.699799,17.435823,7.138957,562441
2020年8月8日,160,7,1376,12,780,50,160,2366,5190.180176,0.455861,0.0008,0.152925,191.002731,17.558163,7.169542,564807
2020年8月9日,161,1,12,12,780,50,160,1002,5190.180176,0.193057,0.0008,0.152957,191.042831,17.680529,7.200133,565809
2020年8月10日,162,2,24,12,780,50,160,1014,5190.180176,0.195369,0.0008,0.152991,191.08522,17.802921,7.230731,566823
2020年8月11日,163,3,36,12,780,50,160,1026,5190.180176,0.197681,0.0008,0.153026,191.129868,17.925343,7.261337,567849
2020年8月12日,164,4,48,12,780,50,160,1038,5190.180176,0.199993,0.0008,0.153064,191.176804,18.047794,7.29195,568887
2020年8月13日,165,5,60,12,780,50,160,1050,5190.180176,0.202305,0.0008,0.153103,191.225998,18.170277,7.32257,569937
2020年8月14日,166,6,72,12,780,50,160,1062,5190.180176,0.204617,0.0008,0.153144,191.277481,18.292791,7.353199,570999
2020年8月15日,167,7,1376,12,780,50,160,2366,5190.180176,0.455861,0.0008,0.153387,191.579956,18.415501,7.383876,573365
2020年8月16日,168,1,12,12,780,50,160,1002,5190.180176,0.193057,0.0008,0.153418,191.619598,18.538235,7.41456,574367
2020年8月17日,169,2,24,12,780,50,160,1014,5190.180176,0.195369,0.0008,0.153452,191.661514,18.660995,7.44525,575381
2020年8月18日,170,3,36,12,780,50,160,1026,5190.180176,0.197681,0.0008,0.153487,191.705704,18.783785,7.475947,576407
2020年8月19日,171,4,48,12,780,50,160,1038,5190.180176,0.199993,0.0008,0.153525,191.752182,18.906605,7.506652,577445
2020年8月20日,172,5,60,12,780,50,160,1050,5190.180176,0.202305,0.0008,0.153564,191.800919,19.029455,7.537365,578495
2020年8月21日,173,6,72,12,780,50,160,1062,5190.180176,0.204617,0.0008,0.153604,191.851929,19.152338,7.568086,579557
2020年8月22日,174,7,1376,12,780,50,160,2366,5190.180176,0.455861,0.0008,0.153846,192.153946,19.275415,7.598855,581923
2020年8月23日,175,1,12,12,780,50,160,1002,5190.180176,0.193057,0.0008,0.153878,192.193115,19.398518,7.629631,582925
2020年8月24日,176,2,24,12,780,50,160,1014,5190.180176,0.195369,0.0008,0.153911,192.234573,19.521646,7.660413,583939
2020年8月25日,177,3,36,12,780,50,160,1026,5190.180176,0.197681,0.0008,0.153946,192.278305,19.644804,7.691202,584965
2020年8月26日,178,4,48,12,780,50,160,1038,5190.180176,0.199993,0.0008,0.153983,192.324326,19.76799,7.721999,586003
2020年8月27日,179,5,60,12,780,50,160,1050,5190.180176,0.202305,0.0008,0.154021,192.372604,19.891207,7.752803,587053
2020年8月28日,180,6,72,12,780,50,160,1062,5190.180176,0.204617,0.0008,0.154062,192.423157,20.014456,7.783615,588115
2020年8月29日,181,7,1376,12,780,50,160,2366,5190.180176,0.455861,0.0006,0.115727,192.76329,20.107038,7.806761,590481
2020年8月30日,182,1,12,12,780,50,160,1002,5190.180176,0.193057,0.0006,0.115774,192.840576,20.199657,7.829916,591483
2020年8月31日,183,2,24,12,780,50,160,1014,5190.180176,0.195369,0.0006,0.115822,192.920135,20.292315,7.85308,592497
2020年9月1日,184,3,36,12,780,50,160,1026,5190.180176,0.197681,0.0006,0.115871,193.001938,20.385012,7.876254,593523
2020年9月2日,185,4,48,12,780,50,160,1038,5190.180176,0.199993,0.0006,0.115921,193.086014,20.477749,7.899438,594561
2020年9月3日,186,5,60,12,780,50,160,1050,5190.180176,0.202305,0.0006,0.115973,193.172348,20.570528,7.922633,595611
2020年9月4日,187,6,72,12,780,50,160,1062,5190.180176,0.204617,0.0006,0.116026,193.260941,20.663349,7.945838,596673
2020年9月5日,188,7,1376,12,780,50,160,2366,5190.180176,0.455861,0.0006,0.11623,193.600571,20.756332,7.969084,599039
2020年9月6日,189,1,12,12,780,50,160,1002,5190.180176,0.193057,0.0006,0.116276,193.677353,20.849354,7.99234,600041
2020年9月7日,190,2,24,8,540,50,160,774,5190.180176,0.149128,0.0006,0.116296,193.710175,20.94239,8.015599,600815
2020年9月8日,191,3,36,8,540,50,160,786,5190.180176,0.15144,0.0006,0.116317,193.7453,21.035444,8.038862,601601
2020年9月9日,192,4,48,8,540,50,160,798,5190.180176,0.153752,0.0006,0.116339,193.782715,21.128515,8.06213,602399
2020年9月10日,193,5,60,8,540,50,160,810,5190.180176,0.156064,0.0006,0.116363,193.822418,21.221605,8.085402,603209
2020年9月11日,194,6,72,8,540,50,160,822,5190.180176,0.158376,0.0006,0.116388,193.864395,21.314716,8.10868,604031
2020年9月12日,195,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0006,0.116564,194.157455,21.407969,8.131992,606157
2020年9月13日,196,1,12,8,540,50,160,762,5190.180176,0.146816,0.0006,0.116583,194.187698,21.501234,8.155309,606919
2020年9月14日,197,2,24,8,540,50,160,774,5190.180176,0.149128,0.0006,0.116602,194.220215,21.594515,8.178629,607693
2020年9月15日,198,3,36,8,540,50,160,786,5190.180176,0.15144,0.0006,0.116623,194.255035,21.687813,8.201954,608479
2020年9月16日,199,4,48,8,540,50,160,798,5190.180176,0.153752,0.0006,0.116645,194.292145,21.78113,8.225283,609277
2020年9月17日,200,5,60,8,540,50,160,810,5190.180176,0.156064,0.0006,0.116669,194.331543,21.874464,8.248616,610087
2020年9月18日,201,6,72,8,540,50,160,822,5190.180176,0.158376,0.0006,0.116694,194.373215,21.967819,8.271955,610909
2020年9月19日,202,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0006,0.11687,194.66597,22.061316,8.295328,613035
2020年9月20日,203,1,12,8,540,50,160,762,5190.180176,0.146816,0.0006,0.116888,194.695908,22.154825,8.318706,613797
